Downloaded from: https://www.eea.europa.eu/en/analysis/indicators/water-abstraction-by-source-and/water-abstraction-by-economic-sector

Publisher ,European Environment Agency,EEA

Sources ,https://www.eea.europa.eu/en/datahub/datahubitem-view/a4324714-784a-4763-b8b9-b8939ead87fe?activeAccordion=1092906,European Environment Agency (EEA),"Waterbase - Water Quantity, 2023"
 ,https://ec.europa.eu/eurostat/databrowser/view/env_wat_abs/default/table?lang=en&category=env.env_wat.env_nwat,Eurostat - Statistical Office of the European Union (ESTAT),Annual freshwater abstraction by source and sector

Geographical coverage ,"Cyprus, Portugal, Spain, Malta, Denmark, Iceland, Switzerland, Sweden, Netherlands, Austria, Belgium, Germany, Luxembourg, Ireland, Türkiye, France, Liechtenstein, Slovakia, Czechia, Norway, Italy, Slovenia, Montenegro, Croatia, Bosnia and Herzegovina, Greece, Estonia, Latvia, Lithuania, Serbia, Finland, North Macedonia, Hungary, Bulgaria, Albania, Poland, Romania, Kosovo (UNSCR 1244/99)"

Temporal coverage ,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

EIONET,countryCode,Country,phenomenonTimePeriod_year,Agriculture_Million m3,Construction_Million m3,Electricity cooling_Million m3,Manufacturing_Million m3,Mining and Quarrying_Million m3,Public water supply_Million m3,dataSource
Non-EU,ME,Montenegro,2021,,,,2.6,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2022,,,,1.5,,,EEA estimate based on ESTAT DEF_DISS_DS-056121;WAT007 2000-2022
Non-EU,ME,Montenegro,2023,,,,1.2,,,EEA estimate based on ESTAT DEF_DISS_DS-056121
Non-EU,ME,Montenegro,2005,,,182.3,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2006,,,200.9,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2007,,,144.9,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2008,,,202.8,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2009,,,155.2,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2010,,,246.3,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2011,,,208.5,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2012,,,209.2,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2013,,,256.1,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2014,,,3,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2015,,,3.5,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2016,,,3.1,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2017,,,3.2,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2018,,,3.3,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2019,,,3,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2020,,,3,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2021,,,3,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2022,,,2077.2,,,,WAT007 2000-2022
Non-EU,ME,Montenegro,2023,,,289.4,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf
Non-EU,ME,Montenegro,2000,,,,,,56.4,WAT007 2000-2022
Non-EU,ME,Montenegro,2001,,,,,,55.8,WAT007 2000-2022
Non-EU,ME,Montenegro,2002,,,,,,55.1,WAT007 2000-2022
Non-EU,ME,Montenegro,2003,,,,,,54.4,WAT007 2000-2022
Non-EU,ME,Montenegro,2004,,,,,,53.7,WAT007 2000-2022
Non-EU,ME,Montenegro,2005,,,,,,53.7,WAT007 2000-2022
Non-EU,ME,Montenegro,2006,,,,,,52.4,WAT007 2000-2022
Non-EU,ME,Montenegro,2007,,,,,,51.7,WAT007 2000-2022
Non-EU,ME,Montenegro,2008,,,,,,49.9,WAT007 2000-2022
Non-EU,ME,Montenegro,2009,,,,,,50.4,WAT007 2000-2022
Non-EU,ME,Montenegro,2010,,,,,,49.7,WAT007 2000-2022
Non-EU,ME,Montenegro,2011,,,,,,49.7,WAT007 2000-2022
Non-EU,ME,Montenegro,2012,,,,,,48.4,WAT007 2000-2022
Non-EU,ME,Montenegro,2013,,,,,,47.7,WAT007 2000-2022
Non-EU,ME,Montenegro,2014,,,,,,47.1,WAT007 2000-2022
Non-EU,ME,Montenegro,2015,,,,,,46.4,WAT007 2000-2022
Non-EU,ME,Montenegro,2016,,,,,,47.1,WAT007 2000-2022
Non-EU,ME,Montenegro,2017,,,,,,47.2,WAT007 2000-2022
Non-EU,ME,Montenegro,2018,,,,,,47.2,WAT007 2000-2022
Non-EU,ME,Montenegro,2019,,,,,,47.1,WAT007 2000-2022
Non-EU,ME,Montenegro,2020,,,,,,121.3,WAT007 2000-2022
Non-EU,ME,Montenegro,2021,,,,,,121.3,WAT007 2000-2022
Non-EU,ME,Montenegro,2022,,,,,,121.3,WAT007 2000-2022
Non-EU,ME,Montenegro,2023,,,,,,59.7,EEA estimate based on ESTAT_demo_pjan

